edge_id,from_node,to_node,base_length,base_speed_limit,road_type,lanes,is_oneway
0,139693,5723720351,4.37,50.0,tertiary,1,1
1,139693,139698,62.173,50.0,tertiary,1,1
2,139698,139723,110.029,50.0,tertiary,1,1
3,139707,139708,37.249,50.0,residential,1,0
4,139707,10985355495,190.227,50.0,residential,1,0
5,139708,139707,37.249,50.0,residential,1,0
6,139708,340368898,90.699,50.0,residential,1,1
7,139708,336081749,27.741,30.0,residential,1,0
8,139709,6287116917,16.845,30.0,residential,1,0
9,139709,6287116913,18.575,50.0,residential,1,1
10,139709,336081749,48.064,30.0,residential,1,0
11,139712,139714,61.349,30.0,residential,1,1
12,139712,352941159,131.119,50.0,residential,1,1
13,139713,139712,50.644999999999996,50.0,residential,1,1
14,139714,139715,46.729,30.0,residential,1,1
15,139715,139713,63.867,30.0,residential,1,1
16,139715,790752840,12.791,30.0,residential,1,1
17,139716,139718,106.329,30.0,residential,1,1
18,139717,336079180,108.568,30.0,residential,1,0
19,139717,139716,83.017,30.0,residential,1,1
20,139717,139719,97.999,30.0,residential,1,0
21,139718,336079180,8.9,30.0,residential,1,0
22,139718,6287116917,87.817,30.0,residential,1,0
23,139719,289089572,92.39500000000001,30.0,residential,1,1
24,139719,139717,97.999,30.0,residential,1,0
25,139723,496179967,57.832,50.0,tertiary,1,1
26,139723,342349454,194.368,30.0,residential,1,1
27,1226802,345342110,88.08800000000001,50.0,secondary,2,1
28,1226802,531952045,79.413,50.0,tertiary,1,1
29,1226807,1627587,57.56399999999999,50.0,secondary,2,1
30,1226818,35288611,164.85399999999998,30.0,residential,1,1
31,1226818,412398654,55.686,50.0,tertiary,1,1
32,1226869,320115303,828.5629999999999,90.0,motorway,4,1
33,1226885,2989957353,63.36600000000001,50.0,motorway_link,2,1
34,1226885,366925712,43.053,50.0,secondary,6,1
35,1227191,591891153,24.232,50.0,primary,2,1
36,1227191,563970408,103.245,30.0,residential,1,0
37,1227320,387493754,206.04999999999998,50.0,tertiary,2,1
38,1227320,4000823194,157.47700000000003,50.0,secondary,1,1
39,1227320,286546551,108.78,50.0,tertiary,3,0
40,1227328,2138045009,8.067,50.0,tertiary,1,1
41,1227328,332205774,107.893,50.0,secondary,1,1
42,1227332,267817909,71.963,50.0,tertiary,1,1
43,1227332,412406223,75.294,30.0,residential,1,1
44,1228098,442893206,194.238,50.0,residential,1,0
45,1228098,1228100,83.848,50.0,secondary,3,1
46,1228100,13146941277,21.728,50.0,secondary,3,1
47,1228104,442898687,42.958999999999996,50.0,secondary_link,1,1
48,1228104,442898681,26.087000000000003,50.0,secondary,3,1
49,1228134,2131481385,11.035,60.0,secondary,2,1
50,1228134,2111407136,18.341,50.0,secondary,1,1
51,1228338,8489857363,167.935,50.0,primary,2,1
52,1228344,2481705198,39.717999999999996,50.0,primary_link,1,1
53,1228344,290034365,29.309,50.0,primary,2,1
54,1228349,2481705226,35.64,50.0,primary,2,1
55,1329372,530185828,12.343,50.0,tertiary,1,0
56,1329372,2144241316,196.59400000000002,50.0,tertiary,2,0
57,1329372,288134139,104.91000000000001,50.0,secondary,3,1
58,1329703,442893209,11.429,50.0,residential,1,0
59,1329703,6100854619,111.493,50.0,tertiary,2,1
60,1329704,442893205,13.964,50.0,secondary,1,1
61,1329704,282458314,32.214,50.0,tertiary,1,1
62,1329709,1308842261,205.14499999999998,50.0,secondary,4,1
63,1329709,1228100,16.636,50.0,residential,1,1
64,1329714,315048480,18.092,50.0,secondary,3,1
65,1329714,17703741,28.269,50.0,secondary_link,1,1
66,1329719,2435366215,10.514,50.0,tertiary,2,0
67,1329719,2435366221,19.164,50.0,secondary,2,1
68,1329719,2435366218,17.958,50.0,tertiary,2,0
69,1627528,332203929,10.209,50.0,tertiary,1,1
70,1627528,2229213067,15.386,50.0,tertiary,1,1
71,1627531,444731151,10.752,50.0,tertiary,2,0
72,1627531,340232434,242.13300000000004,30.0,tertiary,1,1
73,1627531,5913155755,240.35999999999999,50.0,tertiary,1,0
74,1627549,2203631392,30.374,50.0,tertiary,1,1
75,1627550,2989950141,450.64199999999994,50.0,motorway_link,1,1
76,1627550,911648722,61.437000000000005,50.0,unclassified,1,1
77,1627550,6507643701,217.569,50.0,unclassified,1,1
78,1627574,29944869,95.439,50.0,tertiary,1,1
79,1627574,267819097,132.54999999999998,50.0,secondary,2,1
80,1627580,2469848036,6.991,50.0,tertiary,1,0
81,1627580,1672308816,154.54500000000002,50.0,tertiary,1,1
82,1627580,412518857,77.801,50.0,tertiary,2,0
83,1627584,288134276,83.299,50.0,tertiary,3,1
84,1627585,1107292327,14.556,50.0,tertiary,1,1
85,1627585,415442665,75.634,50.0,secondary,2,1
86,1627585,415442186,72.56,50.0,tertiary,3,0
87,1627587,1627588,186.857,50.0,secondary,2,1
88,1627587,412399337,158.39999999999998,50.0,tertiary,2,1
89,1627588,4831211731,258.01700000000005,50.0,tertiary,1,1
90,1627588,412398379,54.929,50.0,residential,1,0
91,1627588,1224771134,416.88499999999993,50.0,secondary,2,1
92,1627607,1574697984,198.333,90.0,motorway,3,1
93,1627607,12287814424,252.609,90.0,motorway,3,1
94,1627609,566890495,172.31,50.0,motorway_link,1,1
95,1627609,1627615,347.432,90.0,motorway,1,1
96,1627615,2213119636,71.991,90.0,motorway,1,1
97,1627615,591891170,232.925,50.0,motorway_link,1,1
98,3358619,343415880,10.47,60.0,secondary,3,1
99,3358619,2231332721,24.746000000000002,50.0,tertiary,1,1
100,3358884,1622664278,9.831,50.0,tertiary,1,0
101,3358884,3359271,265.114,50.0,secondary,2,1
102,3359271,1224771134,9.331,50.0,tertiary,1,0
103,3359271,412400474,649.613,50.0,secondary,2,1
104,17703736,1312216087,290.30300000000005,50.0,secondary,4,1
105,17703736,339997764,16.943,50.0,primary,3,1
106,17703745,3990123466,115.281,50.0,residential,1,0
107,29944865,2469848159,180.136,50.0,tertiary_link,1,1
108,29944865,34132764,134.81900000000002,50.0,tertiary,2,1
109,29944869,267818057,51.057,50.0,tertiary,1,1
110,29944869,2469848138,184.901,50.0,tertiary,1,1
111,29944870,343330693,56.265,50.0,tertiary,2,1
112,29944870,334632200,91.503,50.0,tertiary,1,1
113,29944871,315060363,23.497,50.0,tertiary,1,1
114,29944871,35288615,149.212,50.0,tertiary,1,1
115,29944872,343331654,244.721,50.0,residential,1,1
116,29944872,343331182,252.18699999999998,50.0,residential,1,1
117,29944872,290614131,54.439,50.0,tertiary,1,1
118,29944880,2304907593,11.444,50.0,tertiary,1,1
119,29944880,2475602290,312.881,30.0,secondary,2,1
120,29944883,35288618,22.806,50.0,secondary,1,1
121,29944883,331994305,72.063,50.0,tertiary,1,1
122,33388439,412519847,75.149,50.0,tertiary,2,1
123,33388439,1227332,75.292,50.0,tertiary,1,1
124,33388440,2144024859,83.895,50.0,tertiary,1,1
125,33388443,6485685135,60.778,50.0,secondary,2,1
126,33388446,3987152342,74.771,30.0,residential,1,1
127,33388446,10578320574,143.15800000000002,50.0,secondary,3,1
128,33617427,6269788099,14.884,50.0,residential,1,1
129,33617427,440062849,222.02700000000002,50.0,secondary,3,1
130,33956079,984206018,193.844,50.0,tertiary,1,1
131,33956079,5596652341,13.445,50.0,tertiary,2,1
132,33956080,2493918012,66.841,50.0,tertiary,2,1
133,33956080,1571656623,10.355,50.0,tertiary,2,1
134,33956085,1121709466,10.701,30.0,residential,2,0
135,33956085,33956079,402.15199999999993,50.0,tertiary,1,1
136,33961317,1225577241,273.817,70.0,motorway,3,1
137,34132755,387493707,61.428,50.0,residential,1,1
138,34132755,286546719,83.872,50.0,tertiary,1,1
139,34132757,355602971,9.325,50.0,tertiary,2,1
140,34132762,412691495,72.078,30.0,residential,1,1
141,34132764,267819605,61.83,50.0,tertiary,2,1
142,34132764,360201247,67.107,30.0,residential,1,1
143,34132766,33388439,229.878,50.0,tertiary,2,1
144,34132766,340006024,65.72200000000001,50.0,tertiary,2,1
145,34132812,315034811,235.157,90.0,motorway_link,1,1
146,34132812,2993052356,1987.582,90.0,motorway,3,1
147,34132842,345401039,18.625,50.0,motorway_link,3,1
148,34132842,591837241,25.984,50.0,secondary,3,1
149,34650800,10050458133,44.059,50.0,residential,1,0
150,34650800,384648219,60.428,50.0,tertiary,2,1
151,34650802,282458079,74.232,50.0,tertiary,2,1
152,34650802,311001040,22.807000000000002,30.0,residential,1,1
153,34651077,6095670907,20.821,50.0,tertiary,2,0
154,34651077,3992798245,84.91,50.0,tertiary,2,0
155,34651078,1571656514,11.139,50.0,secondary,2,1
156,34651078,33956080,93.275,50.0,tertiary,2,1
157,34653719,1439598793,20.719,50.0,secondary,5,1
158,34653719,553058295,38.149,50.0,secondary,2,1
159,35288611,13521616457,14.695,50.0,tertiary,1,1
160,35288613,340369342,121.119,50.0,tertiary,1,1
161,35288613,340369251,75.708,50.0,tertiary,2,1
162,35288615,334632164,55.606,50.0,tertiary,1,1
163,35288615,340312591,71.49,50.0,tertiary,1,1
164,35288616,35288615,17.584,50.0,tertiary,1,1
165,35288616,343331654,72.007,50.0,tertiary,1,1
166,35288618,354567804,15.847000000000001,50.0,tertiary,2,1
167,35288618,2072034651,85.57,50.0,secondary,1,1
168,35288620,29944883,254.141,50.0,secondary,1,1
169,35288620,331994292,72.047,30.0,residential,1,1
170,35288627,2203627170,27.759999999999998,50.0,tertiary,1,1
171,35288627,443886792,126.485,50.0,tertiary,1,1
172,35288640,443886751,11.512,50.0,tertiary,1,1
173,35288640,343325522,85.81899999999999,50.0,tertiary,2,1
174,35288642,139693,182.39600000000002,50.0,tertiary,1,1
175,35288642,342348469,58.678000000000004,30.0,residential,1,0
176,35288643,343611361,16.199,50.0,tertiary,1,1
177,35288643,2225823718,17.682,50.0,secondary,2,1
178,57046702,57046703,42.478,50.0,residential,1,1
